model,OR_vs_gemini,ci_lo,ci_hi,p
claude-opus-4-7,1.769216889209672,1.3775141497803838,2.2723021767607854,7.882752585693033e-06
deepseek-v4-flash,2.4594771241830067,1.8365898864300922,3.293619206483507,1.5425761101805875e-09
gpt-5,2.5199026979212733,1.91917636104024,3.3086639330786185,2.8958385602146008e-11
grok-4-3,2.2884856070087602,1.7206490117637712,3.0437156780265346,1.2727116340626299e-08
llama-3.3-70b,2.961764705882352,2.1362332616446786,4.106316632415322,7.361213905145785e-11
qwen3-coder,2.582173327346206,1.9539666879202973,3.4123504426551166,2.565040752041057e-11
