model,severity_weighted_score,ci_lo,ci_hi
gemini-2.5-pro,16.455882352941178,9.52896509491733,24.400218978102185
claude-opus-4-7,18.767567567567568,12.576049800038088,25.81323757763975
grok-4-3,32.95652173913044,22.965508663578657,43.763716501284556
deepseek-v4-flash,33.06572769953052,23.733537683271884,43.14136363636363
qwen3-coder,35.276497695852534,24.436314273961333,46.95937499999999
gpt-5,38.348837209302324,26.88279624404867,50.971761363636354
llama-3.3-70b,52.89473684210526,40.611468479437235,65.80456168831168
